Viauy | Change password;Viauy | Cambiar contraseña;Viauy | Mudar senha
Change password;Cambiar contraseña;Mudar senha
&#9679 Between 8 and 30 characters.<br>&#9679 At least one special character.<br>&#9679 At least one lowercase letter.<br>&#9679 At least one uppercase letter.<br>&#9679 At least one number.;&#9679 Entre 8 y 30 caracteres.<br>&#9679 Al menos un carácter especial.<br>&#9679 Al menos una letra minúscula.<br>&#9679 Al menos una letra mayúscula.<br>&#9679 Al menos un número.;&#9679 Entre 8 e 30 caracteres.<br>&#9679 Pelo menos um caractere especial.<br>&#9679 Pelo menos uma letra minúscula.<br>&#9679 Pelo menos uma letra maiúscula.<br>&#9679 Pelo menos um número.
Password;Contraseña;Senha
&#9679 Incorrect password.;&#9679 Contraseña incorrecta.;&#9679 Senha incorreta.
Password;Contraseña;Senha
Old password;Contraseña antigua;Senha Antiga
New password;Nueva contraseña;Nova Senha
Change password;Cambiar contraseña;Mudar senha
&#9679 New password must be different than previous one.;&#9679 La nueva contraseña debe ser diferente a la anterior.;&#9679 A nova senha deve ser diferente da anterior.
Password;Contraseña;Senha
