Viauy | Reset password;Viauy | Restablecer la contraseña;Viauy | Redefinir senha
Reset Password;Restablecer contraseña;Redefinir senha
&#9679 Between 8 and 30 characters.<br>&#9679 At least one special character.<br>&#9679 At least one lowercase letter.<br>&#9679 At least one uppercase letter.<br>&#9679 At least one number.;&#9679 Entre 8 y 30 caracteres.<br>&#9679 Al menos un carácter especial.<br>&#9679 Al menos una letra minúscula.<br>&#9679 Al menos una letra mayúscula.<br>&#9679 Al menos un número.;&#9679 Entre 8 e 30 caracteres.<br>&#9679 Pelo menos um caractere especial.<br>&#9679 Pelo menos uma letra minúscula.<br>&#9679 Pelo menos uma letra maiúscula.<br>&#9679 Pelo menos um número.
Password;Contraseña;Senha
Password;Contraseña;Senha
Confirm password;Confirmar contraseña;Redefinir senha
Reset Password;Restablecer contraseña;Redefinir senha
&#9679 Passwords can't be different.;&#9679 Las contraseñas no pueden ser diferentes;As senhas não podem ser diferentes.
Password;Contraseña;Senha
&#9679 Incorrect password.;&#9679 Contraseña incorrecta.;&#9679 Senha incorreta.
Password;Contraseña;Senha
&#9679 The password can't be the same as the old one.;&#9679 La contraseña no puede ser la misma que la anterior.;&#9679 A senha não pode ser igual à antiga..
Password;Contraseña;Senha
