Viauy | Schedules;Viauy | Horarios;Viauy | Horários
Schedules;Horarios;horários
From;Desde;De
Departament;Departamento;Departamento
Canelones;Canelones;Canelones
Artigas;Artigas;Artigas
Maldonado;Maldonado;Maldonado
Montevideo;Montevideo;Montevidéu
To;Hasta;até
Departament;Departamento;Departamento
Canelones;Canelones;Canelones
Artigas;Artigas;Artigas
Maldonado;Maldonado;Maldonado
Montevideo;Montevideo;Montevidéu
CA;CA;CA
Canelones;Canelones;Canelones
Origin;Origen;Origem
CA;CA;CA
Canelones;Canelones;Canelones
Destination;Destino;Destino
